entity_id,entity_name,entity_type,news_id
COMPANY_COMP-0_0,COMP-0,Company,NEWS-1
COMPANY_Profile_1,Profile,Company,NEWS-1
COMPANY_Average_2,Average,Company,NEWS-1
COMPANY_Maximum_3,Maximum,Company,NEWS-1
COMPANY_Total_4,Total,Company,NEWS-1
COMPANY_Financial_5,Financial,Company,NEWS-1
COMPANY_COMP-0_0,COMP-0,Company,NEWS-2
COMPANY_Profile_1,Profile,Company,NEWS-2
COMPANY_Average_2,Average,Company,NEWS-2
COMPANY_Maximum_3,Maximum,Company,NEWS-2
COMPANY_Total_4,Total,Company,NEWS-2
COMPANY_Financial_5,Financial,Company,NEWS-2
COMPANY_COMP-0_0,COMP-0,Company,NEWS-3
COMPANY_Profile_1,Profile,Company,NEWS-3
COMPANY_Average_2,Average,Company,NEWS-3
COMPANY_Maximum_3,Maximum,Company,NEWS-3
COMPANY_Total_4,Total,Company,NEWS-3
COMPANY_Financial_5,Financial,Company,NEWS-3
COMPANY_COMP-0_0,COMP-0,Company,NEWS-4
COMPANY_Profile_1,Profile,Company,NEWS-4
COMPANY_Average_2,Average,Company,NEWS-4
COMPANY_Maximum_3,Maximum,Company,NEWS-4
COMPANY_Total_4,Total,Company,NEWS-4
COMPANY_Financial_5,Financial,Company,NEWS-4
COMPANY_COMP-0_0,COMP-0,Company,NEWS-5
COMPANY_Profile_1,Profile,Company,NEWS-5
COMPANY_Average_2,Average,Company,NEWS-5
COMPANY_Maximum_3,Maximum,Company,NEWS-5
COMPANY_Total_4,Total,Company,NEWS-5
COMPANY_Financial_5,Financial,Company,NEWS-5
COMPANY_COMP-0_0,COMP-0,Company,NEWS-6
COMPANY_Profile_1,Profile,Company,NEWS-6
COMPANY_Average_2,Average,Company,NEWS-6
COMPANY_Maximum_3,Maximum,Company,NEWS-6
COMPANY_Total_4,Total,Company,NEWS-6
COMPANY_Financial_5,Financial,Company,NEWS-6
COMPANY_COMP-1_0,COMP-1,Company,NEWS-7
COMPANY_Profile_1,Profile,Company,NEWS-7
COMPANY_Average_2,Average,Company,NEWS-7
COMPANY_Maximum_3,Maximum,Company,NEWS-7
COMPANY_Total_4,Total,Company,NEWS-7
COMPANY_Financial_5,Financial,Company,NEWS-7
COMPANY_COMP-1_0,COMP-1,Company,NEWS-8
COMPANY_Profile_1,Profile,Company,NEWS-8
COMPANY_Average_2,Average,Company,NEWS-8
COMPANY_Maximum_3,Maximum,Company,NEWS-8
COMPANY_Total_4,Total,Company,NEWS-8
COMPANY_Financial_5,Financial,Company,NEWS-8
COMPANY_COMP-1_0,COMP-1,Company,NEWS-9
COMPANY_Profile_1,Profile,Company,NEWS-9
COMPANY_Average_2,Average,Company,NEWS-9
COMPANY_Maximum_3,Maximum,Company,NEWS-9
COMPANY_Total_4,Total,Company,NEWS-9
COMPANY_Financial_5,Financial,Company,NEWS-9
COMPANY_COMP-1_0,COMP-1,Company,NEWS-10
COMPANY_Profile_1,Profile,Company,NEWS-10
COMPANY_Average_2,Average,Company,NEWS-10
COMPANY_Maximum_3,Maximum,Company,NEWS-10
COMPANY_Total_4,Total,Company,NEWS-10
COMPANY_Financial_5,Financial,Company,NEWS-10
COMPANY_COMP-1_0,COMP-1,Company,NEWS-11
COMPANY_Profile_1,Profile,Company,NEWS-11
COMPANY_Average_2,Average,Company,NEWS-11
COMPANY_Maximum_3,Maximum,Company,NEWS-11
COMPANY_Total_4,Total,Company,NEWS-11
COMPANY_Financial_5,Financial,Company,NEWS-11
COMPANY_COMP-1_0,COMP-1,Company,NEWS-12
COMPANY_Profile_1,Profile,Company,NEWS-12
COMPANY_Average_2,Average,Company,NEWS-12
COMPANY_Maximum_3,Maximum,Company,NEWS-12
COMPANY_Total_4,Total,Company,NEWS-12
COMPANY_Financial_5,Financial,Company,NEWS-12
COMPANY_COMP-1_0,COMP-1,Company,NEWS-13
COMPANY_Profile_1,Profile,Company,NEWS-13
COMPANY_Average_2,Average,Company,NEWS-13
COMPANY_Maximum_3,Maximum,Company,NEWS-13
COMPANY_Total_4,Total,Company,NEWS-13
COMPANY_Financial_5,Financial,Company,NEWS-13
COMPANY_COMP-1_0,COMP-1,Company,NEWS-14
COMPANY_Profile_1,Profile,Company,NEWS-14
COMPANY_Average_2,Average,Company,NEWS-14
COMPANY_Maximum_3,Maximum,Company,NEWS-14
